ID,Cámara,Tipo,Timestamp,Descripción,Status,Usuario Identificado,EvidencePath
122,Cámara 1,Falta Casco,2025-10-26 03:40:46,Falta Casco - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_034045.jpg
123,Cámara 1,Falta Casco,2025-10-26 03:40:46,Falta Casco - Usuario identificado: TESTQR_SMOKE,open,TESTQR_SMOKE,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_034045.jpg
128,Cámara 1,Falta Casco,2025-10-26 03:48:56,Falta Casco - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_034854.jpg
130,Cámara 1,Falta Casco,2025-10-26 03:48:58,Falta Casco - Usuario identificado: TESTQR_SMOKE,open,TESTQR_SMOKE,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_034856.jpg
134,Cámara 1,Falta Casco,2025-10-26 03:49:03,Falta Casco - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_034901.jpg
147,Cámara 1,Falta Casco,2025-10-26 04:56:25,Falta Casco - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_045647.jpg
148,Cámara 1,Falta Casco,2025-10-26 04:56:34,Falta Casco - Usuario identificado: TESTQR_SMOKE,open,TESTQR_SMOKE,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_045641.jpg
149,Cámara 1,Falta Casco,2025-10-29 14:37:35,Falta Casco - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD29\SAFEBUILD20251016\captures\Cámara_1_20251029_143730.jpg
150,web_demo,PPE_violation,2025-10-29 20:18:30,Detección desde web demo,closed,,C:\Users\kenka\Downloads\SAFEBUILD29\captures\capture_20251029_211051.jpg
151,web_demo,PPE_violation,2025-10-29 22:03:11,Detección desde web demo,open,,C:\Users\kenka\Downloads\SAFEBUILD29\captures\capture_20251029_221417.jpg
152,web_demo,PPE_violation,2025-10-29 23:17:00,Detección desde web demo,open,,C:\Users\kenka\Downloads\SAFEBUILD29\captures\capture_20251030_001043.jpg
153,web_demo,PPE_violation,2025-10-30 00:01:17,Detección desde web demo,open,admin,C:\Users\kenka\Downloads\SAFEBUILD29\captures\capture_20251030_000127.jpg
154,web_demo,PPE_violation,2025-10-30 20:52:22,Detección desde web demo,open,,C:\Users\kenka\Downloads\SAFEBUILD29\captures\capture_20251030_214207.jpg
